product_id,name,category,price,budget_range,suitable_for,parameters,advantages,disadvantages,coupon_id,coupon_amount,coupon_condition
1001,控油持妆粉底液A,美妆-粉底液,450,300-500,油性皮肤,持妆8小时，遮瑕力强，SPF30,控油不脱妆，防水防汗,色号偏黄，略厚重,C001,50,满400可用
1002,轻薄透气粉底液B,美妆-粉底液,480,400-600,油性/混合皮,持妆10小时，轻薄，SPF50,轻薄透气，色号自然,遮瑕力一般,C002,80,满450可用
1003,保湿滋润粉底液C,美妆-粉底液,380,300-400,干性皮肤,持妆6小时，保湿，SPF25,保湿不卡粉，提亮肤色,控油差,C003,30,满300可用
1004,平价控油粉底液X,美妆-粉底液,299,200-300,油性皮肤,持妆6小时，中等遮瑕，SPF20,性价比高，易推开,持久度略弱,C004,20,满200可用
1005,学生党油皮粉底液Y,美妆-粉底液,259,200-300,油性皮肤,持妆7小时，轻薄遮瑕，SPF15,平价大碗，适合新手,色号较少（仅2色）,C005,15,满200可用
1006,控油清爽面霜F,美妆-面霜,399,300-400,油性皮肤,控油8小时，无油配方，修护屏障,控油不闷痘，吸收快,保湿力弱,C006,40,满350可用
1007,高保湿面霜G,美妆-面霜,599,500-600,干性皮肤,保湿12小时，含神经酰胺，修护,深层保湿，缓解干燥,略油腻,C007,60,满500可用
1008,持妆粉底液H,美妆-粉底液,699,600-800,混合皮,持妆12小时，遮瑕中等，SPF40,持妆久，适配混合皮,T区略卡粉,C008,90,满600可用
1009,复古红口红I,美妆-口红,289,200-300,通用,丝绒质地，持久8小时，显白,显白不挑皮，不拔干,价格偏高,C009,40,满250可用
1010,抗老面霜J,美妆-面霜,559,500-600,熟龄肌,抗老成分，紧致，保湿6小时,紧致抗老，提亮肤色,价格高，吸收慢,C010,70,满500可用
1011,滋润保湿口红K,美妆-口红,199,100-200,干燥唇部,保湿质地，持久6小时，浅唇适配,保湿不卡纹，适合浅唇,色号较少（3色）,C011,20,满150可用
1012,浅唇专用口红L,美妆-口红,259,200-300,浅唇/干燥唇部,水润质地，持久7小时，浅唇显色,浅唇显色自然，保湿力强,略沾杯,C012,30,满200可用
